
================================================================================
TASK 3: MULTI-MISSION ROBUSTNESS — lambda=4, steps=3000
================================================================================

--- mission=M-self-documenting-stack ---
  Training: target=M-self-documenting-stack, lambda=4, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 522.1899 | Mean rewards: 1024.57 | JSD: -1.0000:   1%|▏         | 43/3000 [00:20<20:50,  2.36it/s]
Loss: 522.1899 | Mean rewards: 1024.57 | JSD: -1.0000:   1%|▏         | 44/3000 [00:20<18:49,  2.62it/s]
Loss: 520.6081 | Mean rewards: 1985.98 | JSD: -1.0000:   1%|▏         | 44/3000 [00:20<18:49,  2.62it/s]
Loss: 520.6081 | Mean rewards: 1985.98 | JSD: -1.0000:   2%|▏         | 45/3000 [00:20<15:05,  3.26it/s]
Loss: 520.3973 | Mean rewards: 673.64 | JSD: -1.0000:   2%|▏         | 45/3000 [00:20<15:05,  3.26it/s] 
Loss: 520.3973 | Mean rewards: 673.64 | JSD: -1.0000:   2%|▏         | 46/3000 [00:21<16:53,  2.92it/s]
Loss: 520.4971 | Mean rewards: 1030.61 | JSD: -1.0000:   2%|▏         | 46/3000 [00:21<16:53,  2.92it/s]
Loss: 520.4971 | Mean rewards: 1030.61 | JSD: -1.0000:   2%|▏         | 47/3000 [00:21<18:02,  2.73it/s]
Loss: 520.5980 | Mean rewards: 276.81 | JSD: -1.0000:   2%|▏         | 47/3000 [00:21<18:02,  2.73it/s] 
Loss: 520.5980 | Mean rewards: 276.81 | JSD: -1.0000:   2%|▏         | 48/3000 [00:22<19:46,  2.49it/s]
Loss: 520.5402 | Mean rewards: 650.16 | JSD: -1.0000:   2%|▏         | 48/3000 [00:22<19:46,  2.49it/s]
Loss: 520.5402 | Mean rewards: 650.16 | JSD: -1.0000:   2%|▏         | 49/3000 [00:22<17:45,  2.77it/s]
Loss: 520.1639 | Mean rewards: 3446.22 | JSD: -1.0000:   2%|▏         | 49/3000 [00:22<17:45,  2.77it/s]
Loss: 520.1639 | Mean rewards: 3446.22 | JSD: -1.0000:   2%|▏         | 50/3000 [00:22<16:48,  2.92it/s]
Loss: 518.8944 | Mean rewards: 3796.15 | JSD: -1.0000:   2%|▏         | 50/3000 [00:22<16:48,  2.92it/s]
Loss: 518.8944 | Mean rewards: 3796.15 | JSD: -1.0000:   2%|▏         | 51/3000 [00:23<18:27,  2.66it/s]
Loss: 518.0980 | Mean rewards: 3332.69 | JSD: -1.0000:   2%|▏         | 51/3000 [00:23<18:27,  2.66it/s]
Loss: 518.0980 | Mean rewards: 3332.69 | JSD: -1.0000:   2%|▏         | 52/3000 [00:24<24:03,  2.04it/s]
Loss: 518.2229 | Mean rewards: 664.43 | JSD: -1.0000:   2%|▏         | 52/3000 [00:24<24:03,  2.04it/s] 
Loss: 518.2229 | Mean rewards: 664.43 | JSD: -1.0000:   2%|▏         | 53/3000 [00:25<32:22,  1.52it/s]
Loss: 517.7035 | Mean rewards: 751.64 | JSD: -1.0000:   2%|▏         | 53/3000 [00:25<32:22,  1.52it/s]
Loss: 517.7035 | Mean rewards: 751.64 | JSD: -1.0000:   2%|▏         | 54/3000 [00:25<33:05,  1.48it/s]
Loss: 516.0170 | Mean rewards: 1710.37 | JSD: -1.0000:   2%|▏         | 54/3000 [00:25<33:05,  1.48it/s]
Loss: 516.0170 | Mean rewards: 1710.37 | JSD: -1.0000:   2%|▏         | 55/3000 [00:26<33:14,  1.48it/s]
Loss: 515.2785 | Mean rewards: 1157.38 | JSD: -1.0000:   2%|▏         | 55/3000 [00:26<33:14,  1.48it/s]
Loss: 515.2785 | Mean rewards: 1157.38 | JSD: -1.0000:   2%|▏         | 56/3000 [00:26<29:41,  1.65it/s]
Loss: 514.2427 | Mean rewards: 4678.14 | JSD: -1.0000:   2%|▏         | 56/3000 [00:26<29:41,  1.65it/s]
Loss: 514.2427 | Mean rewards: 4678.14 | JSD: -1.0000:   2%|▏         | 57/3000 [00:27<27:38,  1.77it/s]
Loss: 513.5349 | Mean rewards: 1059.91 | JSD: -1.0000:   2%|▏         | 57/3000 [00:27<27:38,  1.77it/s]
Loss: 513.5349 | Mean rewards: 1059.91 | JSD: -1.0000:   2%|▏         | 58/3000 [00:28<28:54,  1.70it/s]
Loss: 512.7176 | Mean rewards: 881.96 | JSD: -1.0000:   2%|▏         | 58/3000 [00:28<28:54,  1.70it/s] 
Loss: 512.7176 | Mean rewards: 881.96 | JSD: -1.0000:   2%|▏         | 59/3000 [00:28<27:06,  1.81it/s]
Loss: 512.7350 | Mean rewards: 229.98 | JSD: -1.0000:   2%|▏         | 59/3000 [00:28<27:06,  1.81it/s]
Loss: 512.7350 | Mean rewards: 229.98 | JSD: -1.0000:   2%|▏         | 60/3000 [00:28<22:09,  2.21it/s]
Loss: 512.2622 | Mean rewards: 1319.03 | JSD: -1.0000:   2%|▏         | 60/3000 [00:28<22:09,  2.21it/s]
Loss: 512.2622 | Mean rewards: 1319.03 | JSD: -1.0000:   2%|▏         | 61/3000 [00:29<23:19,  2.10it/s]
Loss: 511.6006 | Mean rewards: 1117.16 | JSD: -1.0000:   2%|▏         | 61/3000 [00:29<23:19,  2.10it/s]
Loss: 511.6006 | Mean rewards: 1117.16 | JSD: -1.0000:   2%|▏         | 62/3000 [00:29<26:14,  1.87it/s]
Loss: 510.5621 | Mean rewards: 4143.36 | JSD: -1.0000:   2%|▏         | 62/3000 [00:29<26:14,  1.87it/s]
Loss: 510.5621 | Mean rewards: 4143.36 | JSD: -1.0000:   2%|▏         | 63/3000 [00:30<28:17,  1.73it/s]
Loss: 510.1074 | Mean rewards: 1053.63 | JSD: -1.0000:   2%|▏         | 63/3000 [00:30<28:17,  1.73it/s]
