================================================================================
TASK 2: LAMBDA SWEEP — target=M-self-documenting-stack, steps=3000
================================================================================

--- lambda=1 ---
  Training: target=M-self-documenting-stack, lambda=1, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 530.5036 | Mean rewards: 439.50 | JSD: -1.0000:   3%|▎         | 76/3000 [00:10<08:17,  5.88it/s]
Loss: 530.5036 | Mean rewards: 439.50 | JSD: -1.0000:   3%|▎         | 77/3000 [00:10<10:27,  4.66it/s]
Loss: 530.5692 | Mean rewards: 724.04 | JSD: -1.0000:   3%|▎         | 77/3000 [00:10<10:27,  4.66it/s]
Loss: 530.0824 | Mean rewards: 528.83 | JSD: -1.0000:   3%|▎         | 78/3000 [00:10<10:27,  4.66it/s]
Loss: 530.0824 | Mean rewards: 528.83 | JSD: -1.0000:   3%|▎         | 79/3000 [00:10<07:48,  6.24it/s]
Loss: 529.6263 | Mean rewards: 2827.38 | JSD: -1.0000:   3%|▎         | 79/3000 [00:10<07:48,  6.24it/s]
Loss: 529.6263 | Mean rewards: 2827.38 | JSD: -1.0000:   3%|▎         | 80/3000 [00:11<10:48,  4.50it/s]
Loss: 528.6860 | Mean rewards: 2680.15 | JSD: -1.0000:   3%|▎         | 80/3000 [00:11<10:48,  4.50it/s]
Loss: 528.6860 | Mean rewards: 2680.15 | JSD: -1.0000:   3%|▎         | 81/3000 [00:11<11:36,  4.19it/s]
Loss: 528.5004 | Mean rewards: 734.34 | JSD: -1.0000:   3%|▎         | 81/3000 [00:11<11:36,  4.19it/s] 
Loss: 528.5004 | Mean rewards: 734.34 | JSD: -1.0000:   3%|▎         | 82/3000 [00:11<10:04,  4.83it/s]
Loss: 527.9115 | Mean rewards: 561.37 | JSD: -1.0000:   3%|▎         | 82/3000 [00:11<10:04,  4.83it/s]
Loss: 527.9115 | Mean rewards: 561.37 | JSD: -1.0000:   3%|▎         | 83/3000 [00:11<09:55,  4.90it/s]
Loss: 527.6684 | Mean rewards: 244.46 | JSD: -1.0000:   3%|▎         | 83/3000 [00:11<09:55,  4.90it/s]
Loss: 527.6684 | Mean rewards: 244.46 | JSD: -1.0000:   3%|▎         | 84/3000 [00:11<09:48,  4.95it/s]
Loss: 527.2983 | Mean rewards: 248.08 | JSD: -1.0000:   3%|▎         | 84/3000 [00:11<09:48,  4.95it/s]
Loss: 527.2983 | Mean rewards: 248.08 | JSD: -1.0000:   3%|▎         | 85/3000 [00:12<09:22,  5.18it/s]
Loss: 527.3946 | Mean rewards: 448.45 | JSD: -1.0000:   3%|▎         | 85/3000 [00:12<09:22,  5.18it/s]
Loss: 527.3946 | Mean rewards: 448.45 | JSD: -1.0000:   3%|▎         | 86/3000 [00:12<08:48,  5.51it/s]
Loss: 526.3920 | Mean rewards: 939.16 | JSD: -1.0000:   3%|▎         | 86/3000 [00:12<08:48,  5.51it/s]
Loss: 526.3920 | Mean rewards: 939.16 | JSD: -1.0000:   3%|▎         | 87/3000 [00:12<08:22,  5.79it/s]
Loss: 525.8494 | Mean rewards: 854.59 | JSD: -1.0000:   3%|▎         | 87/3000 [00:12<08:22,  5.79it/s]
Loss: 525.8494 | Mean rewards: 854.59 | JSD: -1.0000:   3%|▎         | 88/3000 [00:12<08:01,  6.04it/s]
Loss: 525.7113 | Mean rewards: 510.57 | JSD: -1.0000:   3%|▎         | 88/3000 [00:12<08:01,  6.04it/s]
Loss: 525.7113 | Mean rewards: 510.57 | JSD: -1.0000:   3%|▎         | 89/3000 [00:12<08:15,  5.87it/s]
Loss: 525.4400 | Mean rewards: 243.03 | JSD: -1.0000:   3%|▎         | 89/3000 [00:12<08:15,  5.87it/s]
Loss: 525.4400 | Mean rewards: 243.03 | JSD: -1.0000:   3%|▎         | 90/3000 [00:12<07:35,  6.39it/s]
Loss: 525.0690 | Mean rewards: 246.53 | JSD: -1.0000:   3%|▎         | 90/3000 [00:12<07:35,  6.39it/s]
Loss: 525.0690 | Mean rewards: 246.53 | JSD: -1.0000:   3%|▎         | 91/3000 [00:13<10:13,  4.74it/s]
Loss: 525.0179 | Mean rewards: 197.98 | JSD: -1.0000:   3%|▎         | 91/3000 [00:13<10:13,  4.74it/s]
Loss: 525.0179 | Mean rewards: 197.98 | JSD: -1.0000:   3%|▎         | 92/3000 [00:13<08:56,  5.42it/s]
Loss: 524.6969 | Mean rewards: 561.98 | JSD: -1.0000:   3%|▎         | 92/3000 [00:13<08:56,  5.42it/s]
Loss: 523.8187 | Mean rewards: 1457.63 | JSD: -1.0000:   3%|▎         | 93/3000 [00:13<08:55,  5.42it/s]
Loss: 523.8187 | Mean rewards: 1457.63 | JSD: -1.0000:   3%|▎         | 94/3000 [00:13<06:58,  6.94it/s]
Loss: 522.9167 | Mean rewards: 3195.52 | JSD: -1.0000:   3%|▎         | 94/3000 [00:13<06:58,  6.94it/s]
Loss: 522.2759 | Mean rewards: 2984.83 | JSD: -1.0000:   3%|▎         | 95/3000 [00:13<06:58,  6.94it/s]
Loss: 522.2759 | Mean rewards: 2984.83 | JSD: -1.0000:   3%|▎         | 96/3000 [00:13<06:16,  7.72it/s]
Loss: 521.5914 | Mean rewards: 647.90 | JSD: -1.0000:   3%|▎         | 96/3000 [00:13<06:16,  7.72it/s] 
Loss: 521.5914 | Mean rewards: 647.90 | JSD: -1.0000:   3%|▎         | 97/3000 [00:13<06:23,  7.57it/s]
Loss: 521.0598 | Mean rewards: 2579.91 | JSD: -1.0000:   3%|▎         | 97/3000 [00:13<06:23,  7.57it/s]
Loss: 521.0598 | Mean rewards: 2579.91 | JSD: -1.0000:   3%|▎         | 98/3000 [00:13<06:35,  7.34it/s]
Loss: 520.4157 | Mean rewards: 1421.96 | JSD: -1.0000:   3%|▎         | 98/3000 [00:13<06:35,  7.34it/s]
Loss: 520.4157 | Mean rewards: 1421.96 | JSD: -1.0000:   3%|▎         | 99/3000 [00:14<06:47,  7.11it/s]
Loss: 520.0014 | Mean rewards: 605.04 | JSD: -1.0000:   3%|▎         | 99/3000 [00:14<06:47,  7.11it/s] 
Loss: 520.0014 | Mean rewards: 605.04 | JSD: -1.0000:   3%|▎         | 100/3000 [00:14<08:20,  5.79it/s]
Loss: 519.6540 | Mean rewards: 245.91 | JSD: -1.0000:   3%|▎         | 100/3000 [00:14<08:20,  5.79it/s]
Loss: 519.6540 | Mean rewards: 245.91 | JSD: -1.0000:   3%|▎         | 101/3000 [00:14<07:34,  6.37it/s]
Loss: 518.4454 | Mean rewards: 2889.48 | JSD: -1.0000:   3%|▎         | 101/3000 [00:14<07:34,  6.37it/s]
Loss: 518.4454 | Mean rewards: 2889.48 | JSD: -1.0000:   3%|▎         | 102/3000 [00:14<06:54,  6.99it/s]
Loss: 517.2391 | Mean rewards: 3170.56 | JSD: -1.0000:   3%|▎         | 102/3000 [00:14<06:54,  6.99it/s]
Loss: 517.2391 | Mean rewards: 3170.56 | JSD: -1.0000:   3%|▎         | 103/3000 [00:14<07:42,  6.26it/s]
Loss: 516.0612 | Mean rewards: 529.83 | JSD: -1.0000:   3%|▎         | 103/3000 [00:14<07:42,  6.26it/s] 
Loss: 516.0612 | Mean rewards: 529.83 | JSD: -1.0000:   3%|▎         | 104/3000 [00:14<08:00,  6.03it/s]
Loss: 515.3629 | Mean rewards: 488.63 | JSD: -1.0000:   3%|▎         | 104/3000 [00:14<08:00,  6.03it/s]
Loss: 515.3629 | Mean rewards: 488.63 | JSD: -1.0000:   4%|▎         | 105/3000 [00:15<07:23,  6.53it/s]
Loss: 514.1714 | Mean rewards: 474.56 | JSD: -1.0000:   4%|▎         | 105/3000 [00:15<07:23,  6.53it/s]
Loss: 514.1714 | Mean rewards: 474.56 | JSD: -1.0000:   4%|▎         | 106/3000 [00:15<06:41,  7.20it/s]
Loss: 513.8059 | Mean rewards: 486.67 | JSD: -1.0000:   4%|▎         | 106/3000 [00:15<06:41,  7.20it/s]
